name,brand,address,lat,lon
Cold Storage,,Marine Parade Road,1.3008369,103.9054998
Sheng Siong,Sheng Siong,Marsiling Drive,1.4428927,103.7748706
Hao Mart,,Jalan Tenteram,1.3278267,103.8611225
Hao Mart,,Jalan Tenteram,1.3281476,103.8602173
Toy Station,,Jalan Serene #02-09,1.3225742,103.8137376
Ang Mo Supermarket,,Sembawang Crescent,1.4462194,103.8143512
NTUC Fairprice,FairPrice Xpress,Binjai Park,1.3361915,103.7868805
Prime,,Compassvale Street,1.3952215,103.8959287
Sheng Siong,Sheng Siong,,1.4353435,103.7759132
Hao Mart,,,1.3730856,103.8295881
Meidi-Ya,,Kim Seng Promenade,1.2939643,103.8319923
Selvi Stores,,Buffalo Road,1.3061466,103.8500303
Wet Market,,,1.3473084,103.7438535
Sheng Siong,,,1.3443716,103.7550894
NTUC FairPrice,NTUC Fairprice,Jurong Gateway Road,1.334117,103.7403709
Jmart,,Ang Mo Kio Street 32,1.364222,103.8489685
Haniffa,,Dunlop Road,1.3058966,103.8526085
Meidi-Ya,,Raffles Boulevard,1.2918384,103.8595448
Don Don Donki,,Maritime Square,1.2635544,103.8202252
HAO Eccellente,,,1.293658,103.855349
Sheng Siong,Sheng Siong,Tampines Avenue 9,1.3610846,103.9374407
NTUC Fairprice,NTUC Fairprice,,1.3271466,103.6779931
Sheng Siong,Sheng Siong,Sengkang West Avenue,1.3918936,103.871457
Prime,,,1.3963709,103.9090457
DON DON DONKI Jem,,Jurong Gateway Road,1.3327906,103.7430876
NTUC FairPrice Finest,,Paya Lebar Road,1.317775,103.8929956
NTUC Fairprice,NTUC Fairprice,,1.30519,103.8513117
FairPrice SingPost Centre,,,1.3190301,103.8938497
Prime Supermarket,,,1.3081107,103.8605103
Hao Mart,,,1.3082098,103.8604142
Value Dollar,,Bedok Reservoir Road,1.3337369,103.9142968
NTUC FairPrice,NTUC FairPrice,,1.4430051,103.8306834
Interior Artist Pte Ltd,,Serangoon Road,1.3131662,103.8566188
,U Mart,,1.3180595,103.8614978
YeoExpress,,,1.380551,103.7696864
Prime,,,1.3485388,103.7428281
my Supermarket,,Serangoon Road,1.313576,103.8569542
The Captain Superstore,,Balestier Road,1.3263118,103.8425333
Giant Express,,,1.3726391,103.8538715
NTUC FairPrice,NTUC Fairprice,,1.3599355,103.9696555
NTUC Fairprice,NTUC Fairprice,Ghim Moh Link,1.3085642,103.7847344
Save Mart,,Kreta Ayer Road,1.2814277,103.8421059
Univers-Markt Enterprise Pte. Ltd.,,Clementi Road,1.3110935,103.7716015
Free & Easy Minimart,,Clementi Avenue 3,1.3137808,103.7624229
U Stars Supermarket @ 345,,Clementi Avenue 5,1.3175955,103.7693303
Redman,,,1.4169957,103.9019048
Giant Supermarket,Giant Hypermarket,,1.4166861,103.9017438
Ramya Minimart,,Tampines Street 45,1.3614167,103.9580841
M28 Minimart,,,1.3873727,103.7726114
Ang Mo Supermarket,,Woodlands Avenue 6,1.4382576,103.803627
Sri Murugan,,Tampines Street 81,1.3495601,103.9332669
Ang Mo Supermarket,,,1.4382764,103.8036399
Prime Supermarket,,Sembawang Crescent,1.4447047,103.8159919
U Stars Xpress,,Serangoon North Avenue 1,1.3702816,103.8721951
Krishna Stores,,Choa Chu Kang Avenue 4,1.3851473,103.7429918
U Stars Supermarket,,Telok Blangah Street 32,1.2739509,103.8086629
