key,lat,lon
moe:529258,1.3525587,103.961871
moe:529392,1.3505443,103.9509206
moe:529393,1.3512643,103.9508735
moe:529426,1.3503174,103.9439019
moe:529565,1.3605548,103.9490661
moe:529706,1.3493751,103.9365936
moe:529896,1.3398234,103.9522753
moe:534238,1.3783581,103.881072
moe:534793,1.3731107,103.8976899
moe:536451,1.3670876,103.8938821
moe:536741,1.349932,103.8849238
moe:538720,1.3779148,103.8854613
moe:538784,1.3714019,103.8831785
moe:538786,1.3746523,103.8895368
moe:538787,1.3781311,103.8947545
moe:538882,1.3580028,103.8905149
moe:544799,1.3950015,103.8897759
moe:544822,1.3840612,103.8912122
moe:544969,1.3903798,103.8873538
moe:544974,1.3828948,103.8959771
moe:545080,1.3920267,103.8910424
moe:545088,1.4008244,103.8855297
moe:545091,1.3944211,103.8980033
moe:545092,1.3934574,103.9042405
moe:545166,1.38952,103.8994146
moe:555855,1.3728695,103.8745093
moe:556095,1.3598599,103.8696576
moe:556108,1.3487634,103.868425
moe:556742,1.3496952,103.8621682
moe:558979,1.3577539,103.8638906
moe:569228,1.3721664,103.8520081
moe:569299,1.3653641,103.8509423
moe:569730,1.3604365,103.8540368
moe:569785,1.2899175,103.8519072
moe:569878,1.3768977,103.8433642
moe:569920,1.3689738,103.8392312
moe:579646,1.3607126,103.8330175
moe:579793,1.349215,103.8550069
moe:597610,1.3380993,103.7762188
moe:598112,1.3375191,103.7668494
moe:599986,1.3329992,103.7831019
moe:609476,1.3439954,103.7160482
moe:609558,1.3428913,103.74096
moe:609647,1.3364853,103.7364544
moe:618310,1.3381599,103.718081
moe:648200,1.3368231,103.6996442
moe:648347,1.3514278,103.707695
moe:648368,1.2899175,103.8519072
moe:649036,1.3431181,103.6876286
moe:649188,1.3474424,103.700513
moe:649223,1.3446809,103.6989833
moe:649295,1.3466091,103.718737
moe:649332,1.3471271,103.7215902
moe:649930,1.3428882,103.7129331
moe:659163,1.3493822,103.7409542
moe:659243,1.3538616,103.7540715
moe:659401,1.2899175,103.8519072
moe:659441,1.3591826,103.7479679
moe:659634,1.3457009,103.7535185
moe:659762,1.3453422,103.756399
moe:677742,1.3835888,103.7599934
moe:677744,1.3856168,103.7680048
moe:679002,1.3794259,103.7696661
moe:679287,1.3664476,103.768147
moe:679676,1.3734169,103.7694303
moe:679944,1.383759,103.773841
moe:679946,1.3892807,103.7664336
moe:688261,1.3838509,103.7536535
moe:688268,1.4026516,103.7467054
moe:689100,1.3969567,103.7510919
moe:689189,1.3939439,103.7471369
moe:689285,1.3950387,103.7432597
moe:689762,1.2899175,103.8519072
moe:689814,1.3801678,103.7363788
moe:689905,1.3779378,103.7419841
moe:699915,1.3546192,103.733099
moe:737803,1.4472779,103.8018321
moe:737888,1.428651,103.8104579
moe:737942,1.4399652,103.8047573
moe:738079,1.4331095,103.7903049
moe:738240,1.4346654,103.7978405
moe:738525,1.4420502,103.7883337
moe:738853,1.4366956,103.7916902
moe:738907,1.4429414,103.8003451
moe:738908,1.4438226,103.794714
moe:738927,1.4341257,103.77337
moe:739063,1.4307215,103.7782371
moe:739067,1.4325948,103.7857695
moe:757521,1.4542091,103.8175076
moe:757622,1.4569506,103.8135393
moe:757702,1.4521303,103.8224227
